measure,starting_age,cutoff_age,method,method_params,tail_factor,n_factors_in_fit,n_ay_contributing,is_monotone_from_here,cv_at_starting_age,slope_sign_changes,min_selected_ldf,max_selected_ldf,avg_selected_ldf,r_squared,loo_std_dev,loo_min,loo_max,gap_to_last_observed,gap_flag,pct_of_cdf,materiality_ok,sensitivity_plus10_reserve_delta,sensitivity_minus10_reserve_delta,sensitivity_plus20_reserve_delta,sensitivity_minus20_reserve_delta,residuals_json
Incurred Loss,11,275,exp_dev_quick,"[0.14493165655872692, 0.7882500550451723]",1.1020121798893052,22,0,False,0.0,12,1.0,1.0,1.0,0.5866585483674849,0.002059694348469362,1.095425713231056,1.1052654725947542,0.5550683434412731,True,3.742604112847028,False,1064263.4265950173,-1300766.410282798,1951149.6154241934,-2926724.423136294,"{""0"": 1.5748180378133976, ""1"": 0.6553051598471988, ""2"": 0.32793126152198315, ""3"": -0.651524652411251, ""4"": 0.6294576958268947, ""5"": 0.6793453750487992, ""6"": -0.8405726317787363, ""7"": -0.5380941999163134, ""8"": 0.8392799939968967, ""9"": -2.1416559201464596, ""10"": -0.29427809698751517, ""11"": -1.2603109905886427, ""12"": -1.4278361879719261, ""13"": 0.41954163518701826, ""14"": -0.03566563464810368, ""15"": 0.7900609409788695, ""16"": 0.6225357435955621, ""17"": 0.16732847376042415, ""18"": 0.692950456937087, ""19"": 0.9308903676619318, ""20"": 2.4215932468821437}"
Incurred Loss,11,275,exp_dev_quick_exact_last,"[0.14493165655872692, 0.7882500550451723]",1.1020121798893052,22,0,False,0.0,12,1.0,1.0,1.0,0.5866585483674849,0.002059694348469362,1.095425713231056,1.1052654725947542,0.5550683434412731,True,3.742604112847028,False,1064263.4265950173,-1300766.410282798,1951149.6154241934,-2926724.423136294,"{""0"": 1.5748180378133976, ""1"": 0.6553051598471988, ""2"": 0.32793126152198315, ""3"": -0.651524652411251, ""4"": 0.6294576958268947, ""5"": 0.6793453750487992, ""6"": -0.8405726317787363, ""7"": -0.5380941999163134, ""8"": 0.8392799939968967, ""9"": -2.1416559201464596, ""10"": -0.29427809698751517, ""11"": -1.2603109905886427, ""12"": -1.4278361879719261, ""13"": 0.41954163518701826, ""14"": -0.03566563464810368, ""15"": 0.7900609409788695, ""16"": 0.6225357435955621, ""17"": 0.16732847376042415, ""18"": 0.692950456937087, ""19"": 0.9308903676619318, ""20"": 2.4215932468821437}"
Incurred Loss,11,275,exp_dev_product,"[0.14493165655872692, 0.7882500550451723]",1.0036482941480898,22,0,False,0.0,12,1.0,1.0,1.0,0.5866585483674849,0.002059694348469362,1.095425713231056,1.1052654725947542,0.5550683434412731,True,0.15244734633048962,False,1168567.978999015,-1428249.7521098927,2142374.628164854,-3213561.9422472604,"{""0"": 1.5748180378133976, ""1"": 0.6553051598471988, ""2"": 0.32793126152198315, ""3"": -0.651524652411251, ""4"": 0.6294576958268947, ""5"": 0.6793453750487992, ""6"": -0.8405726317787363, ""7"": -0.5380941999163134, ""8"": 0.8392799939968967, ""9"": -2.1416559201464596, ""10"": -0.29427809698751517, ""11"": -1.2603109905886427, ""12"": -1.4278361879719261, ""13"": 0.41954163518701826, ""14"": -0.03566563464810368, ""15"": 0.7900609409788695, ""16"": 0.6225357435955621, ""17"": 0.16732847376042415, ""18"": 0.692950456937087, ""19"": 0.9308903676619318, ""20"": 2.4215932468821437}"
Incurred Loss,11,275,mcclenahan,"{""r"": 0.46986667}",1.0000000133022942,22,0,False,0.0,12,1.0,1.0,1.0,,,,,,False,5.587283237821102e-07,True,1172831.2431170903,-1433460.4082542174,2150190.6123813316,-3225285.9185719937,
Reported Count,11,263,bondy,,1.0,21,0,True,0.0,0,1.0,1.0,1.0,,0.0,1.0,1.0,,False,,,,,,,
Reported Count,11,263,modified_bondy_double_dev,,1.0,21,0,True,0.0,0,1.0,1.0,1.0,,,,,,False,,,,,,,
Reported Count,11,263,modified_bondy_square_ratio,,1.0,21,0,True,0.0,0,1.0,1.0,1.0,,,,,,False,,,,,,,
Reported Count,11,263,exp_dev_quick,"[0.059098020377258115, 0.06502718766576006]",1.0000000000202085,21,0,True,0.0,0,1.0,1.0,1.0,0.8433952958429027,4.846335792489914e-13,1.0000000000199223,1.000000000021911,0.05890197962274199,True,1.6885790204838033e-08,True,788.8809125695841,-964.1877820294917,1446.2816730442378,-2169.422509566355,"{""0"": 0.691487196769307, ""1"": -1.346247602939636, ""2"": 0.6935550412572518}"
Reported Count,11,263,exp_dev_quick_exact_last,"[0.059098020377258115, 0.06502718766576006]",1.0000000000202085,21,0,True,0.0,0,1.0,1.0,1.0,0.8433952958429027,4.846335792489914e-13,1.0000000000199223,1.000000000021911,0.05890197962274199,True,1.6885790204838033e-08,True,788.8809125695841,-964.1877820294917,1446.2816730442378,-2169.422509566355,"{""0"": 0.691487196769307, ""1"": -1.346247602939636, ""2"": 0.6935550412572518}"
Reported Count,11,263,exp_dev_product,"[0.059098020377258115, 0.06502718766576006]",1.0,21,0,True,0.0,0,1.0,1.0,1.0,0.8433952958429027,4.846335792489914e-13,1.0000000000199223,1.000000000021911,0.05890197962274199,True,,,,,,,"{""0"": 0.691487196769307, ""1"": -1.346247602939636, ""2"": 0.6935550412572518}"
Reported Count,11,263,skurnick,"{""r"": 0.61834694, ""A"": 16.25614305, ""n"": 3}",2.627988840124679,21,0,True,0.0,0,1.0,1.0,1.0,0.06953720104774952,,,,,False,83.80894370742,False,300.1842703974726,-366.89188604135416,550.3378290620321,-825.5067435930487,
