measure,starting_age,cutoff_age,method,method_params,tail_factor,n_factors_in_fit,n_ay_contributing,is_monotone_from_here,cv_at_starting_age,slope_sign_changes,min_selected_ldf,max_selected_ldf,avg_selected_ldf,r_squared,loo_std_dev,loo_min,loo_max,gap_to_last_observed,gap_flag,pct_of_cdf,materiality_ok,sensitivity_plus10_reserve_delta,sensitivity_minus10_reserve_delta,sensitivity_plus20_reserve_delta,sensitivity_minus20_reserve_delta,residuals_json
Incurred Loss,11,263,modified_bondy_square_ratio,,1.0342889999999998,21,0,False,0.0178,13,1.0,1.0359,1.0174,,,,,,False,1.4587300168515491,False,1183405.7552893609,-1446384.8120203204,2169577.2180304825,-3254365.8270457163,
Incurred Loss,11,263,exp_dev_quick,"[0.13736253621492622, 0.7883392828329141]",1.0968129337902288,21,0,False,0.0178,13,1.0,1.0359,1.0174,0.45053579404396316,0.002466988668319631,1.0892829690103052,1.1024591913752813,0.5082374637850737,True,3.791895221549563,False,1115945.5888277926,-1363933.4974561818,2045900.2461842783,-3068850.369276412,"{""0"": 1.5475564365378047, ""1"": 0.6717893140728404, ""2"": 0.10479916848056625, ""3"": -0.6063667659011243, ""4"": 0.6604953157916276, ""5"": 0.7324180373304605, ""6"": -1.6238611846037765, ""7"": -0.5768151129723114, ""8"": 0.8615538760756012, ""9"": -0.6780490477788677, ""10"": 1.0109915792591, ""11"": -1.5180724020472889, ""12"": -2.9849937744670516, ""13"": 1.2183967177079915, ""14"": -0.312115757493185, ""15"": 0.672925364155792, ""16"": -0.4242489827577911, ""18"": 1.5443085530578706, ""19"": 0.9823783572584412, ""20"": 2.6671240600135215}"
Incurred Loss,11,263,exp_dev_quick_exact_last,"[0.13736253621492622, 0.7883392828329141]",2.3939610627580117,21,0,False,0.0178,13,1.0,1.0359,1.0174,0.45053579404396316,0.002466988668319631,1.0892829690103052,1.1024591913752813,0.5082374637850737,True,20.635073860520116,False,511279.6420432851,-624897.3402751163,937346.0104126856,-1406019.0156190246,"{""0"": 1.5475564365378047, ""1"": 0.6717893140728404, ""2"": 0.10479916848056625, ""3"": -0.6063667659011243, ""4"": 0.6604953157916276, ""5"": 0.7324180373304605, ""6"": -1.6238611846037765, ""7"": -0.5768151129723114, ""8"": 0.8615538760756012, ""9"": -0.6780490477788677, ""10"": 1.0109915792591, ""11"": -1.5180724020472889, ""12"": -2.9849937744670516, ""13"": 1.2183967177079915, ""14"": -0.312115757493185, ""15"": 0.672925364155792, ""16"": -0.4242489827577911, ""18"": 1.5443085530578706, ""19"": 0.9823783572584412, ""20"": 2.6671240600135215}"
Incurred Loss,11,263,exp_dev_product,"[0.13736253621492622, 0.7883392828329141]",1.0044015565176698,21,0,False,0.0178,13,1.0,1.0359,1.0174,0.45053579404396316,0.002466988668319631,1.0892829690103052,1.1024591913752813,0.5082374637850737,True,0.19529618814412525,False,1218619.731610246,-1489424.1164125092,2234136.174618777,-3351204.2619281523,"{""0"": 1.5475564365378047, ""1"": 0.6717893140728404, ""2"": 0.10479916848056625, ""3"": -0.6063667659011243, ""4"": 0.6604953157916276, ""5"": 0.7324180373304605, ""6"": -1.6238611846037765, ""7"": -0.5768151129723114, ""8"": 0.8615538760756012, ""9"": -0.6780490477788677, ""10"": 1.0109915792591, ""11"": -1.5180724020472889, ""12"": -2.9849937744670516, ""13"": 1.2183967177079915, ""14"": -0.312115757493185, ""15"": 0.672925364155792, ""16"": -0.4242489827577911, ""18"": 1.5443085530578706, ""19"": 0.9823783572584412, ""20"": 2.6671240600135215}"
Incurred Loss,11,263,mcclenahan,"{""r"": 0.21500608}",1.0000000000000002,21,0,False,0.0178,13,1.0,1.0359,1.0174,,,,,,False,9.914802699173558e-15,True,1223983.555232469,-1495979.9008396864,2243969.851259522,-3365954.7768892907,
Reported Count,11,263,bondy,,1.0,21,0,False,0.0,7,1.0,1.0,1.0,,0.0,1.0,1.0,,False,,,,,,,
Reported Count,11,263,modified_bondy_double_dev,,1.0,21,0,False,0.0,7,1.0,1.0,1.0,,,,,,False,,,,,,,
Reported Count,11,263,modified_bondy_square_ratio,,1.0,21,0,False,0.0,7,1.0,1.0,1.0,,,,,,False,,,,,,,
Reported Count,11,263,exp_dev_quick,"[0.11800000000000006, 0.08233869695925725]",1.0000000002716636,21,0,False,0.0,7,1.0,1.0,1.0,1.0,0.0,1.0000000002716636,1.0000000002716636,4.163336342344337e-17,False,2.369563744236115e-07,True,792.4411815362198,-968.5392218776049,1452.8088328164047,-2179.2132492246083,"{""0"": 4.440892098500626e-16, ""2"": 8.881784197001252e-16}"
Reported Count,11,263,exp_dev_quick_exact_last,"[0.11800000000000006, 0.08233869695925725]",1.0000000002716636,21,0,False,0.0,7,1.0,1.0,1.0,1.0,0.0,1.0000000002716636,1.0000000002716636,4.163336342344337e-17,False,2.369563744236115e-07,True,792.4411815362198,-968.5392218776049,1452.8088328164047,-2179.2132492246083,"{""0"": 4.440892098500626e-16, ""2"": 8.881784197001252e-16}"
Reported Count,11,263,exp_dev_product,"[0.11800000000000006, 0.08233869695925725]",1.0,21,0,False,0.0,7,1.0,1.0,1.0,1.0,0.0,1.0000000002716636,1.0000000002716636,4.163336342344337e-17,False,,,,,,,"{""0"": 4.440892098500626e-16, ""2"": 8.881784197001252e-16}"
Reported Count,11,263,skurnick,"{""r"": 0.61834694, ""A"": 16.25614305, ""n"": 3}",2.627988840124672,21,0,False,0.0,7,1.0,1.0,1.0,0.06953720104774952,,,,,False,84.38322856883407,False,301.5390208863673,-368.5476921944528,552.821538291676,-829.2323074375163,
